Instance,Runtime,Optimal_Value
1,0.0009999275207519531,0.6198641481852656
2,0.0019998550415039062,0.665778022248497
3,0.002000093460083008,0.6339946629735003
4,0.0019998550415039062,0.5381948907172824
5,0.002000093460083008,0.7980489581846234
6,0.002000093460083008,0.7597182927148285
7,0.0009999275207519531,0.6923272582228941
8,0.003000020980834961,0.7239474548707281
9,0.003000020980834961,0.608253203139906
10,0.004000186920166016,0.6582189977831391
11,0.0009999275207519531,0.6979134866186782
12,0.003000020980834961,0.6937936358040542
13,0.002000093460083008,0.36158988455929675
14,0.0029997825622558594,0.6436438297880819
15,0.0019998550415039062,0.630119128538792
16,0.0010001659393310547,0.703063303616732
17,0.002000093460083008,0.6529342845347634
18,0.003000020980834961,0.5719687063811434
19,0.002000093460083008,0.7736621239584691
20,0.009999990463256836,0.8186146834044977
21,0.0019998550415039062,0.6039693690331019
22,0.003000020980834961,0.5840008396636683
23,0.0019998550415039062,0.7002654382794303
24,0.002000093460083008,0.5870423119027616
25,0.0019998550415039062,0.5639239449897495
26,0.0019998550415039062,0.6387336447048173
27,0.0,0.46665627380104824
28,0.003000020980834961,0.5130263831246537
29,0.002000093460083008,0.686134843264297
30,0.002000093460083008,0.476293526591058
31,0.0009999275207519531,0.7034142605390751
32,0.0009999275207519531,0.6779967895254999
33,0.0019998550415039062,0.7268027539943671
34,0.002000093460083008,0.4619450779463765
35,0.0009999275207519531,0.6811198277526705
36,0.0010001659393310547,0.7079042104369374
37,0.0009999275207519531,0.7061402195164916
38,0.0009999275207519531,0.6969502712354873
39,0.0009999275207519531,0.7688453773380569
40,0.0019998550415039062,0.6430490172675668
41,0.0009999275207519531,0.7597511806820524
42,0.0009999275207519531,0.27159245295649737
43,0.0019998550415039062,0.7123503086062363
44,0.0010001659393310547,0.555894647922259
45,0.002000093460083008,0.6559557300705919
46,0.002000093460083008,0.6744227970276669
47,0.0019998550415039062,0.55645877348104
48,0.0019998550415039062,0.6598082322462533
49,0.004999876022338867,0.5287678504945665
50,0.0019998550415039062,0.6766075491946025
51,0.003000020980834961,0.5686466144639117
52,0.002000093460083008,0.5775836875834898
53,0.0009999275207519531,0.6185678851514161
54,0.0009999275207519531,0.6736624592411472
55,0.002000093460083008,0.682132741835624
56,0.0019998550415039062,0.7001178868315407
57,0.0009999275207519531,0.6409622310065192
58,0.002000093460083008,0.6285944561644837
59,0.002000093460083008,0.6925459704070851
60,0.0019998550415039062,0.7085400424419916
61,0.003999948501586914,0.4661506073154812
62,0.003000020980834961,0.6502662431286481
63,0.005000114440917969,0.6459262407647419
64,0.004999876022338867,0.6334533612609957
65,0.006000041961669922,0.5393222807815475
66,0.005000114440917969,0.6897142768545804
67,0.004999876022338867,0.6394986447218494
68,0.003999948501586914,0.5099792376225573
69,0.002000093460083008,0.6513052226167919
70,0.0019998550415039062,0.7803850302374272
71,0.002000093460083008,0.7536008004241836
72,0.002000093460083008,0.7304256520648239
73,0.002000093460083008,0.3375609564419679
74,0.002000093460083008,0.6590403091541527
75,0.0019998550415039062,0.5393826118402631
76,0.002000093460083008,0.7104622278085393
77,0.009000062942504883,0.6943404787254448
78,0.0,0.6672144402633495
79,0.0009999275207519531,0.5583537659723482
80,0.002000093460083008,0.4819834465448474
81,0.003000020980834961,0.37602789467798714
82,0.003000020980834961,0.7774608632049526
83,0.003000020980834961,0.6679041422016522
84,0.0009999275207519531,0.5662643690579006
85,0.002000093460083008,0.6892995599013645
86,0.004999876022338867,0.6353074222646182
87,0.002000093460083008,0.6397066964662055
88,0.0009999275207519531,0.4396942650114388
89,0.0010001659393310547,0.6926367749002211
90,0.002000093460083008,0.6406449025471112
91,0.002000093460083008,0.7444865687539512
92,0.0019998550415039062,0.6208151365880067
93,0.002000093460083008,0.517993851887793
94,0.003999948501586914,0.6330622102055665
95,0.0009999275207519531,0.6822823466551922
96,0.002000093460083008,0.5815540602792773
97,0.003000020980834961,0.7655140156408617
98,0.002000093460083008,0.6277470136105845
99,0.0010001659393310547,0.537729512568375
100,0.003000020980834961,0.5818520131397867
